,Country,Conf,New conf,Deaths,New deaths,Date
464,Spain,2,0,0,0,2020-02-21
465,Italy,3,0,0,0,2020-02-21
466,Germany,16,0,0,0,2020-02-21
467,Spain,2,0,0,0,2020-02-21
468,Italy,3,0,0,0,2020-02-21
469,Germany,16,0,0,0,2020-02-21
470,Spain,2,0,0,0,2020-02-18
471,Italy,3,0,0,0,2020-02-18
472,Germany,16,0,0,0,2020-02-18
473,Spain,2,0,0,0,2020-02-17
474,Italy,3,0,0,0,2020-02-17
475,Germany,16,0,0,0,2020-02-17
476,Spain,2,0,0,0,2020-02-16
477,Italy,3,0,0,0,2020-02-16
478,Germany,16,0,0,0,2020-02-16
479,Spain,2,0,0,0,2020-02-15
480,Italy,3,0,0,0,2020-02-15
481,Germany,16,0,0,0,2020-02-15
482,Spain,2,0,0,0,2020-02-14
483,Italy,3,0,0,0,2020-02-14
484,Germany,16,0,0,0,2020-02-14
485,Spain,2,0,0,0,2020-02-13
486,Italy,3,0,0,0,2020-02-13
487,Germany,16,0,0,0,2020-02-13
488,Spain,2,0,0,0,2020-02-12
489,Italy,3,0,0,0,2020-02-12
490,Germany,16,2,0,0,2020-02-12
491,Spain,2,0,0,0,2020-02-11
492,Italy,3,0,0,0,2020-02-11
493,Germany,14,0,0,0,2020-02-11
494,Spain,2,1,0,0,2020-02-10
495,Italy,3,0,0,0,2020-02-10
496,Germany,14,0,0,0,2020-02-10
497,Spain,1,0,0,0,2020-02-09
498,Italy,3,0,0,0,2020-02-09
499,Germany,14,0,0,0,2020-02-09
500,Spain,1,0,0,0,2020-02-08
501,Italy,3,0,0,0,2020-02-08
502,Germany,14,1,0,0,2020-02-08
503,Spain,1,0,0,0,2020-02-07
504,Italy,3,1,0,0,2020-02-07
505,Germany,13,1,0,0,2020-02-07
506,Spain,1,0,0,0,2020-02-07
507,Italy,3,1,0,0,2020-02-07
508,Germany,13,1,0,0,2020-02-07
509,Spain,1,0,0,0,2020-02-07
510,Italy,3,1,0,0,2020-02-07
511,Germany,13,1,0,0,2020-02-07
512,Spain,1,0,0,0,2020-02-07
513,Italy,3,1,0,0,2020-02-07
514,Germany,13,1,0,0,2020-02-07
515,Spain,1,0,0,0,2020-02-07
516,Italy,3,1,0,0,2020-02-07
517,Germany,13,1,0,0,2020-02-07
518,Spain,1,0,0,0,2020-02-07
519,Italy,3,1,0,0,2020-02-07
520,Germany,13,1,0,0,2020-02-07
521,Spain,1,0,0,0,2020-02-07
522,Italy,3,1,0,0,2020-02-07
523,Germany,13,1,0,0,2020-02-07
524,Spain,1,0,0,0,2020-02-07
525,Italy,3,1,0,0,2020-02-07
526,Germany,13,1,0,0,2020-02-07
527,Spain,1,0,0,0,2020-02-07
528,Italy,3,1,0,0,2020-02-07
529,Germany,13,1,0,0,2020-02-07
530,Spain,1,0,0,0,2020-02-07
531,Italy,3,1,0,0,2020-02-07
532,Germany,13,1,0,0,2020-02-07
533,Spain,1,0,0,0,2020-02-07
534,Italy,3,1,0,0,2020-02-07
535,Germany,13,1,0,0,2020-02-07
536,Spain,1,0,0,0,2020-02-07
537,Italy,3,1,0,0,2020-02-07
538,Germany,13,1,0,0,2020-02-07
539,Spain,1,0,0,0,2020-02-07
540,Italy,3,1,0,0,2020-02-07
541,Germany,13,1,0,0,2020-02-07
542,Spain,1,0,0,0,2020-02-07
543,Italy,3,1,0,0,2020-02-07
544,Germany,13,1,0,0,2020-02-07
545,Spain,1,0,0,0,2020-02-07
546,Italy,3,1,0,0,2020-02-07
547,Germany,13,1,0,0,2020-02-07
548,Spain,1,0,0,0,2020-02-07
549,Italy,3,1,0,0,2020-02-07
550,Germany,13,1,0,0,2020-02-07
551,Spain,1,0,0,0,2020-02-07
552,Italy,3,1,0,0,2020-02-07
553,Germany,13,1,0,0,2020-02-07
554,Spain,1,0,0,0,2020-02-07
555,Italy,3,1,0,0,2020-02-07
556,Germany,13,1,0,0,2020-02-07
